firma,ico
"""HP – Pelzer k.s.""",40524604
"1CSC PRECISION TUBES, a.s.",1534432
2 JCP a.s.,47286393
3D-Lasertec s.r.o.,25223445
4MEX s.r.o.,4073461
"A. Pöttinger, spol. s r.o.",63249651
"A. Pöttinger, spol. s r. o.",63249651
A.I.T. Wire Formnig & Metal Technology CZ spol. s r.o.,27300358
ABB s.r.o.,49682563
ABnote Czech s.r.o.,61975583
ACERBIS CZECH s.r.o.,27488331
"ADC Czech Republic, s.r.o.",27384098
ADM Prague s.r.o.,28937996
Advanced Plastics s.r.o.,18953557
"ADW Bio, a.s.",63078911
AEG components s.r.o.,25610562
AFSI Europe s.r.o.,27325229
AGC Automotive Czech a.s.,25012240
Agor Tech spol. s r.o.,48953199
"Agroetanol TTD, a.s.",27198251
"AGROSTROJ International, s.r.o.",28148215
"AGROSTROJ Pelhřimov, a.s.",9971
AIMTEC Outsourcing s.r.o.,26127407
AIR PRODUCTS spol. s r.o.,41324226
Aisan Bitron Czech s.r.o.,26198436
Aisan Bitron Louny s.r.o.,25453769
"Aisan Industry Czech, s.r.o.",26198436
AISIN AI CZECH s.r.o.,27438643
AISIN EUROPE MANUFACTURING CZECH s.r.o.,26052377
Aisin Europe Manufacturing Czech s.r.o.,26052377
AISIN EUROPE MANUFATCURING CZECH s.r.o.,26052377
"AKT plastikářská technologie Čechy, spol. s r.o.",25233009
"AKUMA, a.s.",46352562
"AL INVEST Břidličná, a.s.",27376184
ALBO SCHLENK s.r.o.,46900624
"Alca plast, s.r.o.",25655809
Alcan Děčín Extrusions s.r.o.,18380654
ALCAN PACKAGING SKŘIVANY s.r.o.,25265717
"Alcan Strojmetal Aluminium Forging, s.r.o.",25037684
ALFUN a.s.,25828649
ALPER a.s.,27126226
"ALPS Electric Czech, s.r.o.",63484021
Aluczech s.r.o.,26131030
"ALUKROM, s.r.o.",27382303
"ALW INDUSTRY, s.r.o.",60794372
Ammann Czech Republic a.s.,8753
AMTEK Precision Engineering Czech Republic s.r.o.,26029227
ANTOLÍN-CIE CZECH REPUBLIC s.r.o.,1675168
ANVIS AVT s.r.o.,24778877
"Aoyama Automotive Fasteners Czech, s.r.o.",26695081
APAG Elektronik s.r.o.,49813005
Aperam Stainless Services & Solutions Tubes CZ s.r.o.,27131807
apt Cheb s.r.o.,28002253
ARAKO spol. s r.o.,47152371
Arjowiggins Czech Republic koncernový podnik s.r.o.,27626989
Arla Plast s.r.o.,26084996
"ARROW International CR, a.s.",60112387
ArvinMeritor LVS Liberec a.s.,48266175
ASMO Czech s.r.o.,27124568
"AstenJohnson, s.r.o.",27163806
AU Optronics (Czech) s.r.o.,28267834
Austin Detonator Assembly s.r.o.,27846041
"AUTOBATERIE, spol. s r.o.",46709410
Autocraft Industries CZ s.r.o. (nyní: ATC Drivetrain s.r.o.),28280342
"Auto-Kabel Krupka, s.r.o.",27151531
Automotive Lighting s.r.o.,25133152
Autoneum CZ s.r.o.,28783174
AUTOPAL s.r.o.,48399108
AVX Czech Republic s.r.o.,46508171
AXIS a.s.,60108088
"BACHL, spol. s r.o.",14503603
Ball Aerocan CZ s.r.o.,26424444
Bang & Olufsen s.r.o.,27174263
"Banta Global Turnkey, s.r.o.",27655784
Barco Manufacturing s.r.o.,26118793
"BATZ CZECH, s.r.o.",27764052
Baumann Springs s.r.o.,27424481
"BAUMIT,  spol. s r.o.",48038296
Baur Formschaumtechnik s.r.o.,27830543
Baxter BioScience s.r.o.,26701472
Behr Czech s.r.o.,26150905
Behr Ostrava s.r.o.,27775763
"Behr Thermot-tronik Czech, s.r.o.",27140652
Bekaert Bohumín s.r.o.,64613828
"Bekaert Petrovice, s.r.o.",25398075
Bekaert Petrovice s.r.o.,25398075
Benteler Automotive Rumburk s.r.o.,25492080
Bernex Bimetallic s.r.o.,26886774
BEST a.s.,25201859
Biocel Paskov a.s.,26420317
"BIOLÍH Kolín, a.s.",27404161
Black & Decker (Czech) s.r.o.,25445022
"BLATA, s.r.o.",25522132
BMK Czech Technologies s.r.o.,3683371
Bock Czech Kältemaschinen s.r.o.,26705222
BOHEMIA PRINT a.s.,25100467
"BOMAR, spol. s r.o.",48908827
BONATRANS GROUP a.s.,27438678
"BONAVITA, spol. s r.o.",61506672
BORGERS CS spol. s r.o.,49787365
BOSCH DIESEL s.r.o.,46995129
"Bosch Rexroth, spol. s r.o.",547425
BRANO a. s.,45193363
BRANO a.s.,45193363
Brembo Czech s.r.o.,28599888
"Briggs & Stratton (Czech) Power Products, s.r.o.",27765431
Brose CZ spol. s r.o.,61465704
Brück AM spol. s r.o.,49685643
BRUDER CZ s.r.o.,3268501
BRUSH SEM s.r.o.,25745735
BuS Děčín s.r.o.,28752295
Butadien Kralupy a.s.,27893995
BWI Czech Republic s.r.o.,4181352
CARBORUNDUM ELECTRITE a.s.,45148295
Catalytic Solutions Czechia s.r.o.,27315924
Cayman Pharma s.r.o.,26499258
CCI Czech Republic s.r.o.,28353617
CEBALSOL s.r.o.,26424444
"Celestica Kladno, s.r.o.",25712519
"Celestica Ráječko, s.r.o.",25765817
"Cembrit CZ, a.s.",18600247
"CENTROPEN, a.s.",142492
"ČESKÁ RAFINÉRSKÁ, a.s.",62741772
Česká zbrojovka a.s.,46345965
CGI IT Czech republic s.r.o.,62412388
Changhong Europe Electric s.r.o.,27407292
"Chart Ferox, a.s.",8648
"CHEMOPETROL, a.s.",25003887
CHRIST CAR WASH s.r.o.,25201581
"Chropyňská strojírna, a.s.",18189679
"CIDEM Hranice, a.s.",14617081
"CIE METAL CZ, s.r.o.",26871009
CIE PLASTY CZ. s.r.o.,26792605
"CIE Praga Louny, a.s.",27169766
"CIE Praga Louny, a. s.",27169766
"CIE UNITOOLS PRESS, a.s.",25842102
"CIE Ždánice, s.r.o.",27678130
"ČKD VAGONKA, a.s.",25870637
Collins & Aikman Automotive s.r.o.,26445221
Constellium Extrusions Děčín s.r.o.,18380654
"CONTA, s.r.o.",25413783
Continental Automotive Czech Republic s.r.o.,62024922
Continental Barum s.r.o.,45788235
"Continental HT Tyres, s.r.o.",26905850
"Continental Teves Czech Republic, s.r.o.",62024922
"Continental výroba pneumatik,  s.r.o.",25733770
Contratex s.r.o.,27962369
Cooper-Standard Automotive Česká republika s.r.o.,25824031
"COPRECI CZ, s.r.o.",62303660
CPI Moravia Books s.r.o.,63997703
CROMODORA WHEELS s.r.o.,27779017
"CS CABOT, spol. s .r.o.",14612411
CS-BETON s.r.o.,47287586
CTS Czech Republic s.r.o.,27413365
"Cutisin, s.r.o.",27061973
"Czech LANA, s.r.o.",27479803
"CzechPak Manufacturing, s.r.o.",28395689
D PLAST a.s.,544752
DAIDO METAL CZECH s.r.o.,27235475
DAIHO (CZECH) s.r.o.,26178435
Daikin Device Czech Republic s.r.o.,27190455
Daikin Industries Czech Republic s.r.o.,26357895
"DAKO-CZ, a.s.",46505091
"Danisco Czech Republic, a.s.",61858501
Danone a.s.,45272972
DANZER BOHEMIA - DÝHÁRNA  s.r.o.,26203901
"DART, s.r.o. (nyní: Rina Europe s.r.o.)",64941485
Datwyler Sealing Technologies CZ s.r.o.,25935429
DEFENCE VEHICLE a.s.,24152269
"DEHTOCHEMA BITUMAT, a.s.",25502492
DENIOS s.r.o.,25178831
DENSO MANUFACTURING CZECH s.r.o.,25432338
"Denso Manufacturing Czech, s.r.o.",25432338
Deufol Česká Republika a.s.,26222574
Devro s.r.o.,27061973
"DEZA, a.s.",11835
DGS Druckguss Systeme s.r.o.,26187329
"Dietfurt, s.r.o.",64792714
DONALDSON CZECH REPUBLIC s.r.o.,26694778
Donaldson Industrial CR-koncern s.r.o.,27265579
DONGHEE Czech s.r.o.,27793117
Doosan Bobcat Manufacturing s.r.o.,26489201
Doosan Škoda Power s.r.o.,49193864
DOPLA PAP a.s.,45357056
Dräger Chomutov s.r.o.,28668197
Drůbežářský závod Klatovy a.s.,45359989
Drylock Technologies s.r.o.,25411411
"DT - Výhybkárna a strojírna, a.s.",46962778
"DuPont Moravia, spol. s r.o.",48911348
DURA Automotive CZ s.r.o.,61173151
"Dura Automotive CZ,  s.r.o.",61173151
"DURA Automotive CZ, k.s.",61173151
"Dura Automotive Systems CZ, s.r.o.",26031531
Dymos Czech Republic s.r.o.,27786161
Eaton Industries s.r.o.,26729610
Eberspächer spol. s r.o.,48027812
"Eden Europe, s.r.o.",26159716
"Edwards, s.r.o.",26461498
"EGE, spol. s r.o.",15771695
EGRES a.s.,25401297
Eissmann Automotive Česká republika s.r.o.,18251412
