original;funkce;autor
Člen Rady Plzeňského kraje Václav Štekl;Člen Rady Plzeňského kraje;Václav Štekl
Člen rady Plzeňského kraje Petr Smutný;Člen rady Plzeňského kraje;Petr Smutný
Člen zastupitelstva Libereckého kraje Pavel Novák;Člen zastupitelstva Libereckého kraje;Pavel Novák
Člen zastupitelstva hl. m. Prahy Lukáš Manhart;Člen zastupitelstva hl. m. Prahy;Lukáš Manhart
Členka rady hl. m. Prahy Hana Kordová Marvanová;Členka rady hl. m. Prahy;Hana Kordová Marvanová
Evropská komisařka pro spravedlnost, spotřebitele a rovnost žen a mužů Věra Jourová;Evropská komisařka pro spravedlnost, spotřebitele a rovnost žen a mužů;Věra Jourová
Generální ředitel České pošty Martin Elkán;Generální ředitel České pošty;Martin Elkán
Guvernér ČNB Jiří Rusnok;Guvernér ČNB;Jiří Rusnok
Guvernér ČNB Miroslav Singer;Guvernér ČNB;Miroslav Singer
Hejtman Libereckého kraje Martin Půta;Hejtman Libereckého kraje;Martin Půta
Hejtman Libereckého kraje Stanislav Eichler;Hejtman Libereckého kraje;Stanislav Eichler
Hejtman Pardubického kraje Martin Netolický;Hejtman Pardubického kraje;Martin Netolický
Hejtman Pardubického kraje Radko Martínek;Hejtman Pardubického kraje;Radko Martínek
Hejtman Středočeského kraje Miloš Petera;Hejtman Středočeského kraje;Miloš Petera
Hejtmanka Ústeckého kraje Jana Vaňhová;Hejtmanka Ústeckého kraje;Jana Vaňhová
Hlavní hygienička ČR Jarmila Rážová;Hlavní hygienička ČR;Jarmila Rážová
Ministr školství, mládeže a tělovýchovy ČR Dalibor Štys;Ministr školství, mládeže a tělovýchovy ČR;Dalibor Štys
Ministr školství, mládeže a tělovýchovy ČR Josef Dobeš;Ministr školství, mládeže a tělovýchovy ČR;Josef Dobeš
Ministr školství, mládeže a tělovýchovy ČR Marcel Chládek;Ministr školství, mládeže a tělovýchovy ČR;Marcel Chládek
Ministr školství, mládeže a tělovýchovy ČR Petr Fiala;Ministr školství, mládeže a tělovýchovy ČR;Petr Fiala
Ministr školství, mládeže a tělovýchovy ČR Robert Plaga;Ministr školství, mládeže a tělovýchovy ČR;Robert Plaga
Ministr bez portfeje ČR Petr Mlsna;Ministr bez portfeje ČR;Petr Mlsna
Ministr dopravy ČR Antonín Prachař;Ministr dopravy ČR;Antonín Prachař
Ministr dopravy ČR Dan Ťok;Ministr dopravy ČR;Dan Ťok
Ministr dopravy ČR Pavel Dobeš;Ministr dopravy ČR;Pavel Dobeš
Ministr dopravy ČR Radek Šmerda;Ministr dopravy ČR;Radek Šmerda
Ministr dopravy ČR Vladimír Kremlík;Ministr dopravy ČR;Vladimír Kremlík
Ministr dopravy ČR Vít Bárta;Ministr dopravy ČR;Vít Bárta
Ministr dopravy ČR Zbyněk Stanjura;Ministr dopravy ČR;Zbyněk Stanjura
Ministr dopravy ČR Zdeněk Žák;Ministr dopravy ČR;Zdeněk Žák
Ministr financí ČR Ivan Pilný;Ministr financí ČR;Ivan Pilný
Ministr financí ČR Miroslav Kalousek;Ministr financí ČR;Miroslav Kalousek
Ministr kultury ČR Antonín Staněk;Ministr kultury ČR;Antonín Staněk
Ministr kultury ČR Daniel Herman;Ministr kultury ČR;Daniel Herman
Ministr kultury ČR Ilja Šmíd;Ministr kultury ČR;Ilja Šmíd
Ministr kultury ČR Jiří Balvín;Ministr kultury ČR;Jiří Balvín
Ministr kultury ČR Jiří Besser;Ministr kultury ČR;Jiří Besser
Ministr kultury ČR Lubomír Zaorálek;Ministr kultury ČR;Lubomír Zaorálek
Ministr obrany ČR Alexandr Vondra;Ministr obrany ČR;Alexandr Vondra
Ministr obrany ČR Lubomír Metnar;Ministr obrany ČR;Lubomír Metnar
Ministr obrany ČR Martin Stropnický;Ministr obrany ČR;Martin Stropnický
Ministr obrany ČR Vlastimil Picek;Ministr obrany ČR;Vlastimil Picek
Ministr pro místní rozvoj ČR František Lukl;Ministr pro místní rozvoj ČR;František Lukl
Ministr pro místní rozvoj ČR Kamil Jankovský;Ministr pro místní rozvoj ČR;Kamil Jankovský
Ministr průmyslu a obchodu ČR Jan Mládek;Ministr průmyslu a obchodu ČR;Jan Mládek
Ministr průmyslu a obchodu ČR Jiří Cienciala;Ministr průmyslu a obchodu ČR;Jiří Cienciala
Ministr průmyslu a obchodu ČR Jiří Cieńciała;Ministr průmyslu a obchodu ČR;Jiří Cieńciała
Ministr průmyslu a obchodu ČR Jiří Havlíček;Ministr průmyslu a obchodu ČR;Jiří Havlíček
Ministr průmyslu a obchodu ČR Martin Kocourek;Ministr průmyslu a obchodu ČR;Martin Kocourek
Ministr průmyslu a obchodu ČR Martin Kuba;Ministr průmyslu a obchodu ČR;Martin Kuba
Ministr průmyslu a obchodu ČR Tomáš Hüner;Ministr průmyslu a obchodu ČR;Tomáš Hüner
Ministr práce a sociálních věcí ČR František Koníček;Ministr práce a sociálních věcí ČR;František Koníček
Ministr práce a sociálních věcí ČR Jaromír Drábek;Ministr práce a sociálních věcí ČR;Jaromír Drábek
